书名,个人评分,打分日期,我的短评,出版日期,作者,条目链接
"鹿川有许多粪","5","2022/04/13","借描绘民主化运动的意识形态矛盾交织，用粗砺的痛苦的一系列人生故事发问：“如何生活”。多有共鸣，读罢无言。","2021/8","李沧东","https://book.douban.com/subject/35517022/"
"聊天记录","3","2022/04/13","很久之前看的，被夸得天花乱坠，边看边自我怀疑。作者很聪明，但这本书实在是被过誉了。语言犀利但不深刻，处处彰显自己的聪明反而让人觉得匠气。","2019/7/22","[爱尔兰] 萨莉·鲁尼","https://book.douban.com/subject/33422832/"
"欧也妮·葛朗台","","2022/04/06","","2003/01","（法）巴尔扎克","https://book.douban.com/subject/1083476/"
"革命时期的爱情","5","2022/04/04","高中匆匆读罢，今日重读，又有新味。","2017/4","王小波","https://book.douban.com/subject/27013746/"
"反抗者","","2022/04/04","","2018/11","[法] 加缪","https://book.douban.com/subject/27619043/"
"新编社会语言学概论","","2022/04/01","","2013/6","祝畹瑾 主编","https://book.douban.com/subject/25728822/"
"重走","4","2022/04/01","","2021/5","杨潇","https://book.douban.com/subject/35436901/"
"卡卡颂 Carcassonne","4","2022/04/01","老少咸宜的拼图式桌游游戏，人多了就是玩个乐呵，两三个人就是运气+计算+博弈。挺经典的。","2000","Klaus-Jurgen Wrede","https://book.douban.com/subject/3010560/"
"树与石","5","2022/04/01","永远的怪诞回忆与最初的文学启蒙。","1996/01","格非","https://book.douban.com/subject/1393950/"
"文学的邀约","4","2022/04/01","","2010/04","格非","https://book.douban.com/subject/4819570/"
"迷舟","4","2022/04/01","去掉武则天那篇就是树与石。","2020/8","格非","https://book.douban.com/subject/34907986/"
"似水柔情","5","2022/04/01","不知道该不该说抱歉，可我永远记得那双眼睛。","2018/7","王小波","https://book.douban.com/subject/30216760/"
"一个神秘的文学天才路翎","5","2022/03/31","资料翔实，视野开阔。","1997/01","刘挺生","https://book.douban.com/subject/1000521/"
"洼地上的“战役”","4","2022/03/31","对路翎来说一般，对十七年来说无出其右。","2009/8","路翎著","https://book.douban.com/subject/4032987/"
"史记（全四册）","","2022/03/31","","2011/1/1","司马迁","https://book.douban.com/subject/5403728/"
"长袜子皮皮","","2022/03/30","","1999/3","[瑞典] 阿斯特丽德·林格伦","https://book.douban.com/subject/1004088/"
"德米安","4","2022/03/30","","2009/3","[德] 赫尔曼·黑塞","https://book.douban.com/subject/3578470/"
"海蒂","4","2022/03/30","","2006/9","约翰娜·斯比丽","https://book.douban.com/subject/1912993/"
"超拔与悲怆——路翎小说研究","3","2022/03/30","只能说是平平无奇","2017/8/30","周荣","https://book.douban.com/subject/27133369/"
"活着为了讲述","4","2022/03/26","在这里再次感谢四十九女士🧸","2015/11/1","[哥伦比亚] 加西亚·马尔克斯","https://book.douban.com/subject/26657570/"
"世上最美的溺水者","5","2022/03/26","海底最深处，那里的鱼都是瞎子，潜水的人死于乡愁。","2015/11/1","[哥伦比亚] 加西亚·马尔克斯","https://book.douban.com/subject/26628811/"
"爱情和其他魔鬼","5","2022/03/26","“当我停下来凝视自己，回望那条你带我走过的路时——”她背诵道，随后又淘气地问道：“接下来呢？” “我到达了我的终点，因为我已义无反顾地投身于那个毁灭我终结我的人。”他接了下去。她用同样温柔的语气重复着这些诗句，他们就这样一会儿从这一句跳到另一句，一会儿又一起把那些十四行诗改得面目全非随心所欲地拿一句句的诗做起游戏，自如得就像他们是这些诗句的作者一样。","2015/11","[哥伦比亚] 加西亚·马尔克斯","https://book.douban.com/subject/26451351/"
"鸟道","5","2022/03/26","","2015/1","周梦蝶","https://book.douban.com/subject/26310686/"
"诗学","5","2022/03/26","","1996/7","[古希腊] 亚里士多德","https://book.douban.com/subject/1036446/"
"悲剧的诞生","5","2022/03/26","","2012/6","[德]尼采","https://book.douban.com/subject/11232671/"
"二十世纪中国文学三人谈·漫说文化","4","2022/03/26","","2004/8","钱理群","https://book.douban.com/subject/1184041/"
"蒙马特遗书","4","2022/03/24","","2012/8/15","邱妙津","https://book.douban.com/subject/11527634/"
"她是女子，我也是女子","","2022/03/24","","1994/10","黃碧雲","https://book.douban.com/subject/1458164/"
"弗兰妮与祖伊","5","2022/03/23","","2018/10","[美] J. D. 塞林格","https://book.douban.com/subject/26905154/"
"抬高房梁，木匠们；西摩：小传","5","2022/03/23","","2009/1","[美] J.D.塞林格","https://book.douban.com/subject/3438303/"
"一只特立独行的猪","5","2022/03/23","","2006/4","王小波","https://book.douban.com/subject/1767945/"
"小行星掉在下午","4","2022/03/22","","2019/12","沈大成","https://book.douban.com/subject/34907855/"
"屡次想起的人","4","2022/03/22","","2017/6","沈大成","https://book.douban.com/subject/27070201/"
"元素周期表","5","2022/03/22","#奇怪的“读过”书目标注","2013/12/1","杜玲","https://book.douban.com/subject/26415017/"
"惊人的假说","3","2022/03/20","意识 就在现在！","2004/01","（英）弗朗西斯·克里克","https://book.douban.com/subject/1001292/"
"万物静默如谜","4","2022/03/19","","2016/8","［波］维斯拉瓦·辛波斯卡","https://book.douban.com/subject/26421126/"
"漂亮朋友","","2022/03/18","","2010/4","莫泊桑","https://book.douban.com/subject/4897629/"
"2001：太空漫游","","2022/03/18","","2019/4/10","[英] 阿瑟·克拉克","https://book.douban.com/subject/30471298/"
"白天的房子，夜晚的房子","","2022/03/18","","2017/12","[波兰] 奥尔加·托卡尔丘克","https://book.douban.com/subject/27131538/"
"冬泳","","2022/03/18","","2018/9","班宇","https://book.douban.com/subject/30362170/"
"组织部来了个年轻人","3","2022/03/15","","2021/3","王蒙","https://book.douban.com/subject/35455394/"
"丰富的痛苦","5","2022/03/12","","2007/1","钱理群","https://book.douban.com/subject/1974714/"
"1948：天地玄黄","5","2022/03/11","","2015/5","钱理群","https://book.douban.com/subject/25907862/"
"企鹅的忧郁","4","2022/02/28","","2019/9/9","[乌克兰] 安德烈·库尔科夫","https://book.douban.com/subject/34461202/"
"假面的告白","5","2022/02/24","","2021/3","[日]三岛由纪夫","https://book.douban.com/subject/35365846/"
"语言学概论 (博雅语言学教材系列)","5","2022/02/15","","2008","王红旗","https://book.douban.com/subject/3226136/"
"母亲·在医院中","3","2022/02/15","","2006/8","丁玲","https://book.douban.com/subject/1911527/"
"憩园","3","2022/02/15","对巴金完全不感兴趣","1988/2/1","巴 金","https://book.douban.com/subject/1222090/"
"这些年我们的精神裂变","4","2022/02/15","","2013/9","周志强","https://book.douban.com/subject/25699577/"
"纳闷集","4","2022/02/15","","2020/6","匡扶","https://book.douban.com/subject/35041581/"
"回答不了","4","2022/02/15","好喜欢","2018/10","匡扶","https://book.douban.com/subject/30336863/"
"金阁寺","5","2022/02/11","","2021/1/12","[日] 三岛由纪夫","https://book.douban.com/subject/35290985/"
"断鸿零雁记","4","2022/02/11","","1934/1","苏曼殊","https://book.douban.com/subject/1469610/"
"汤姆·索亚历险记","5","2022/01/15","","2007/7","(美)马克·吐温","https://book.douban.com/subject/2193881/"
"哈克贝里·芬历险记","5","2022/01/15","","2006/8","马克·吐温","https://book.douban.com/subject/1914223/"
"机械复制时代的艺术","5","2021/12/14","","2006/10","[德国] 瓦尔特·本雅明","https://book.douban.com/subject/1960256/"
"白银时代","4","2021/12/08","","1997/5","王小波","https://book.douban.com/subject/1082150/"
"万寿寺","5","2021/12/08","","2006/3","王小波","https://book.douban.com/subject/1763806/"
"爱你就像爱生命","4","2021/12/08","","2017/9","王小波","https://book.douban.com/subject/27111096/"
"倾城之恋","5","2021/12/08","","2006/12","张爱玲","https://book.douban.com/subject/1985223/"
"福尔摩斯探案全集（上中下）","3","2021/12/08","","1981/8","[英] 阿·柯南道尔","https://book.douban.com/subject/1040211/"
"撒哈拉的故事","4","2021/12/08","","2003/8","三毛","https://book.douban.com/subject/1060068/"
"追风筝的人","3","2021/12/08","","2006/5","[美] 卡勒德·胡赛尼","https://book.douban.com/subject/1770782/"
"沉默的大多数","5","2021/12/08","","1997/10","王小波","https://book.douban.com/subject/1054685/"
"月亮和六便士","4","2021/12/08","","2006/8","[英] 毛姆","https://book.douban.com/subject/1858513/"
