电影/电视剧/番组,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"独行月球","1","2022/12/30","烂是真的烂。又煽情又鸡汤又*试图*搞笑，最后炖出一锅咽不下去也笑不出来的大锅饭。作为有基本物理常识和生活常识的人觉得实在是槽多无口，CG也有点太假。小品如果不能搬上银幕没必要硬搬，如果是剧场版效果应该会好一点……此外，大喊大叫踢和扒着晃别人座位小孩旁边那些不加管教的家长可以**吗？ @2022-08-04 21:56:41","2022/07/29","中国大陆","https://movie.douban.com/subject/35183042/"
"秘密金鱼","4","2022/12/30","蛮有意思 @2022-08-04 11:30:28","2016/10/04","中国大陆","https://movie.douban.com/subject/26857639/"
"追风 / The Wind","","2022/12/30","再见杨德昌 @2022-08-04 10:46:14","","","https://movie.douban.com/subject/3281175/"
"咒","3","2022/12/30","真的够阴间。形式很巧妙（终于明白为什么说晦气），但各种镜头机位切换让人觉得有点太假。“吓人”的方式也没有很新，但我确实是被吓到了…… @2022-07-19 11:58:27","2022/03/18","中国台湾","https://movie.douban.com/subject/34850561/"
"喜宴 / 囍宴","4","2022/12/30","各种文化隐喻东亚家庭伦理不必再说，明快的喜剧风格很亮点，台词有点灾难。五千年性压抑的结果那段闹剧看了引起极大生理不适。以及高伯伯才是最牛的，很妙！ @2022-07-14 17:11:41","","","https://movie.douban.com/subject/1303037/"
"皆为爱 / The Windshield Wiper","3","2022/12/30","what is LOVE？
爱就像挡风玻璃雨刮器划过后的水痕，每一次都不同。爱是摧毁性的爆炸。爱是一次又一次的错过。爱是渴望导致的绝望。爱是一起老去、面对死亡…
Love is a secret society. “…Down the road you realize you weren’t really in love… ” @2022-07-08 17:56:08","","","https://movie.douban.com/subject/33218436/"
"密室逃生 / Escape Room","3","2022/12/30","跟着爸妈闲得没事在电视上看的爆米花电影，惊险刺激得很“标准”，细节漏洞无伤大雅，黑人小哥身材不错。其他没啥可说的了（很讨厌某些频道里面糟糕的中文配音，什么时候能换成英文+中英字幕！）…… @2022-07-05 00:14:00","2019/01/04","美国","https://movie.douban.com/subject/27109679/"
"爱，死亡和机器人 第二季 / Love, Death & Robots Season 2","3","2022/12/30","除了CG不错以外其他都一般，有点令人审美疲劳。《溺水的巨人》的创意让我想起鲁迅的《补天》和马尔克斯的《世上最美的溺水者》，但是故事有点没讲起来。整季相比精彩纷呈的第一季都节奏放缓，像是打算深挖又没挖出来什么东西，还不如单纯搞点怪奇。 @2022-07-04 19:40:46","2021/05/14","美国","https://movie.douban.com/subject/34418203/"
"爱，死亡和机器人 第一季 / Love, Death & Robots Season 1","4","2022/12/30","良莠不齐，大多数相当精彩（但是过分注重“精彩”了），如果连着看会很上头！ @2022-07-04 17:17:58","2019/03/15","美国","https://movie.douban.com/subject/30424374/"
"百花深处","5","2022/12/30","百花深处，铃声远去…… @2022-07-03 15:33:46(1 有用)","2002/05/18","戛纳电影节","https://movie.douban.com/subject/30210248/"
"红气球 / Le ballon rouge","5","2022/12/30","鲜活、调皮、美好。 @2022-07-03 22:47:53","","","https://movie.douban.com/subject/1326038/"
"当我望向你的时候 / Will You Look At Me","5","2022/12/30","有关“看”与个体身份认同的诗学：观众与拍摄者通过超8mm摄影机看琐碎的生活与时代一角，以及拍摄者年轻的影子；不去看也不能看的母亲，仿佛是游离在秘密以外的父亲，作为“人”来渴望目光的儿子；无处不在的社会与传统观念之眼，流动与迁徙中的个体，无处可寻之根，没有名字的情感；游动，溯洄，对话，痛哭。

当你回望我的时候，我们将成为彼此。 @2022-06-18","2022/05/23","戛纳电影节","https://movie.douban.com/subject/35875052/"
"大象席地而坐","3","2022/12/30","世界是一片荒原。 @2022-06-13 15:21:23","2018/02/16","柏林电影节","https://movie.douban.com/subject/27172891/"
"方舟","","2022/12/29","切肤之痛，不忍看，不能看。 @2022-08-13 00:13:59","","","https://movie.douban.com/subject/35229642/"
"他们在岛屿写作：化城再来人 / 他們在島嶼寫作：化城再來人","4","2022/12/29","@2022-10-02 22:04:58","2011/04/09","中国台湾","https://movie.douban.com/subject/5969389/"
"小武","5","2022/12/28","倔强的尊严和动人的真实感。 @2022-07-16 15:31:34(1 有用)","1998/02/18","柏林电影节","https://movie.douban.com/subject/1291851/"
"分手的决心 / 헤어질 결심","5","2022/12/28","在山与海与雾之间、在罪愆与纠缠之间、在回合轮转、潜伏与回望之间纯洁到意外但不可诉说的柏拉图之爱。“你的爱结束的瞬间，我的爱就开始了。”纷乱揪心的一切，都只能淹没进更深、更深的大海里，不被任何人找到，成为你永远的悬而未决。 @2022-08-12 18:56:41","2022/05/23","戛纳电影节","https://movie.douban.com/subject/35073886/"
"低俗小说 / Pulp Fiction","5","2022/12/28","喜欢 @2022-07-26 22:54:59","1994/05/12","戛纳电影节","https://movie.douban.com/subject/1291832/"
"中国 / Chung Kuo - Cina","5","2022/12/28","用西方目光看半个世纪前的中国人，看中国，看自己。面向镜头的是好奇的、怀疑的、躲闪羞怯的目光。看在人流中发呆的人。朴素色调的城市与乡村。看鲜艳的红色。看僵硬但轩昂的一场木偶戏和现在看来依然厉害的杂技。
直到看完这部片子才发现：不论看了多少史料记录，我对那段历史都还是极其缺乏想象力；而通过影片回看，我却觉得仿佛在窥视自己的隐私。 @2022-07-07 16:51:33","1972/12/26","美国","https://movie.douban.com/subject/1292327/"
"驾驶我的车 / ドライブ・マイ・カー","4","2022/12/27","忙里偷闲，分好几次才看完。淡色的日式风格风景和红色萨福车的色彩搭配很美，喜欢在垃圾场和在车里抽烟伸出手的场景。影像之外，是不同舞台中一次次的戏中戏（文本与自我）、与《万尼亚舅舅》的互文、不断被强调在场的各种形式的语言，结构很精巧也很匠气，完全是用文学的方式在结构电影。我被文本本身具有的魅力吸引，但也觉得这种呈现方式并不如直接阅读相关作品，而且尽管是要强调“文字”，这台词密度还是大到有点没必要了。对村上无感。 @2022-08-21 15:24:53(1 有用)","2021/07/11","戛纳电影节","https://movie.douban.com/subject/35235502/"
"驯龙高手 / How to Train Your Dragon","4","2022/12/23","(*≧ω≦) @2022-08-07 19:32:13","2010/03/18","俄罗斯","https://movie.douban.com/subject/2353023/"
"偷自行车的人 / Ladri di biciclette","5","2022/12/23","崩塌是漫长的一瞬。 @2022-11-10 01:12:29","1948/11/24","意大利","https://movie.douban.com/subject/1295873/"
"桃色公寓 / The Apartment","5","2022/12/23","@2022-10-27 13:10:16","","","https://movie.douban.com/subject/1394218/"
"爱，死亡和机器人 第三季 / Love, Death & Robots Season 3","4","2022/12/23","E1三个机器人续集蛮可爱的（貂尾续貂），E7基本也是个续集；
E2全程让我联想到《奥伯拉·丁的回归》，有气氛有反转，CG精美，制作水平相当🉑️；
E3美、辽阔而温柔，星球成为机器，死亡变成诗章——向生而死比向死而生更美；
E4移轴镜头微缩模型风格，稀里哗啦的人与一个可爱的屁；
E5、E8能不能别再美国大兵了……还有就是少点虫子吧；
E9各方面都绝对精彩，留足阐释的空间，全季最佳。五星给2349，其他三星半。 @2022-07-08 17:05:51","2022/05/20","美国","https://movie.douban.com/subject/35436582/"
"兔爷回家","","2022/12/23","不知道，抱歉,;对不起","2022/12/22","中国大陆","https://movie.douban.com/subject/36193103/"
"十二生肖","","2022/12/23","","2012/12/12","中国香港电影节","https://movie.douban.com/subject/4212172/"
"宝莲灯","","2022/12/23","","1999/07/30","中国大陆","https://movie.douban.com/subject/1299643/"
"成长的烦恼 第一季 / Growing Pains Season 1","","2022/12/23","童年回忆","1985/09/24","美国","https://movie.douban.com/subject/1417946/"
"2022年卡塔尔世界杯 / 2022 FIFA World Cup","5","2022/12/19","","2022/11/20","卡塔尔","https://movie.douban.com/subject/35580096/"
"恐怖分子 / 恐怖份子","4","2022/12/18","沉静的镜头，跳跃的叙事。总觉得很多地方和《牯岭街》很像，但多了很多成年人的无力感和压抑。","1986/12/19","中国台湾","https://movie.douban.com/subject/1305261/"
"一一","5","2022/12/18","生死爱恨，其实所有人都是一样，重头来过也没有什么意义。看得到的生活，看不到的生活——生活本身就是诗，生活又仅仅是生活。 @2022-07-09 23:10:40","2000/05/14","戛纳电影节","https://movie.douban.com/subject/1292434/"
"牯岭街少年杀人事件 / 牯嶺街少年殺人事件","5","2022/12/18","完美的。 @2022-10-11 23:44:39","1991/07/27","中国台湾","https://movie.douban.com/subject/1292329/"
"造梦之家 / The Fabelmans","3","2022/12/16","写给电影的情书喜加一，看得我也想买8mm😭Sammy爸妈的情感问题其实是思维方式的问题（而对于art&science，我不喜欢这种二分的观点），Jesus那块看得我沉默……(1 有用)","2022/09/10","多伦多电影节","https://movie.douban.com/subject/35390098/"
"健听女孩 / CODA","","2022/12/16","","2021/01/29","圣丹斯电影节","https://movie.douban.com/subject/35048413/"
"风声","","2022/12/13","","2009/09/29","中国大陆","https://movie.douban.com/subject/3734112/"
"百万英镑 / The Million Pound Note","","2022/12/06","高中英语课系列","1954/01/07","英国","https://movie.douban.com/subject/1304374/"
"每分钟120击 / 120 battements par minute","5","2022/06/02","辩论，抗争，爱欲，疾病，死亡。压迫地急促地残忍地愤怒地个体与集体穿插叙事，最后归为黑暗中破碎的剪影。沉默就是灭亡——这个国家需要知道我们的愤怒，塞纳河将被鲜血染红，而死后我的骨灰将被扬洒于你们的盛筵。(2 有用)","2017/05/20","戛纳电影节","https://movie.douban.com/subject/26746559/"
"罗密欧与朱丽叶 / Romeo + Juliet","4","2022/06/02","语文课大家一起看的。小李子真正是盛世美颜啊🤤…(1 有用)","1996/11/01","美国","https://movie.douban.com/subject/1306154/"
"纳尼亚传奇1：狮子、女巫和魔衣橱 / The Chronicles of Narnia: Th...","4","2022/06/01","补标 #我的童年幻想#","2005/12/09","美国","https://movie.douban.com/subject/1309052/"
"快乐的大脚 / Happy Feet","","2022/05/30","童年回忆…","2006/11/17","美国","https://movie.douban.com/subject/1760027/"
"马达加斯加 / Madagascar","","2022/05/30","童年回忆","2005/05/27","美国","https://movie.douban.com/subject/1309201/"
"魔鬼鱼 / Raie Manta","4","2022/05/28","压抑与暴动的巴黎，彻夜燃烧的城市，魔鬼鱼。喜欢结尾——“正如一切他处，人们/纵身跃入水中/为了能够再次呼吸”。(1 有用)","2022/05/24","戛纳电影节","https://movie.douban.com/subject/35876322/"
"1996年7月 / Juillet 96","3","2022/05/28","严肃表情小女孩的成长之夏","2020/10/03","俄罗斯","https://movie.douban.com/subject/35709919/"
"捉妖记","3","2022/05/25","胡巴～","2015/07/16","中国大陆","https://movie.douban.com/subject/25723907/"
"瞬息全宇宙 / Everything Everywhere All at Once","3","2022/05/22","存在主义+弑父娶母式西方焦虑居然回落到东方特色的以柔克刚内核，感觉功力不够的话建议还是搞成两块石头的开放式哲思。脑洞够乱够杂烩， 宇宙勾连全靠怪诞和随机只体现创造力有限，同样到了后期就乏力。东亚家庭困局不够典（幸好早被说烂了已经自带前理解），口音好怪，女同线又寻常又觉得其实很亮点……无论如何母女部分还是很戳我——血浓于水的人出于爱的撕扯最痛，但即使再痛即使有任何其他可能性，我最后还是要选择你。(1 有用)","2022/03/11","西南偏南电影节","https://movie.douban.com/subject/30314848/"
"火锅英雄","3","2022/05/22","补标","2016/04/01","中国大陆","https://movie.douban.com/subject/25662327/"
"妖猫传","","2022/05/22","补标","2017/12/22","中国大陆","https://movie.douban.com/subject/5350027/"
"人生切割术 第一季 / Severance Season 1","5","2022/05/21","太震撼了，太牛了，第八第九集我紧张到停止呼吸。别的话都说不出来了快让我看第二季！！！！！(1 有用)","2022/02/18","美国","https://movie.douban.com/subject/34885342/"
"它在身后 / It Follows","3","2022/05/21","初中的时候当恐怖片看的，吓死我了（最后发现是防艾教育片？！）……","2014/05/17","戛纳电影节","https://movie.douban.com/subject/25870483/"
"银河补习班","2","2022/05/15","补标一下（我居然还是去电影院看的）。这种摆烂片的意义大概在于让人愉快吐槽🤑","2019/07/13","大规模点映","https://movie.douban.com/subject/30282387/"
"半个喜剧","3","2022/05/15","补标。过于小品了。","2019/12/20","中国大陆","https://movie.douban.com/subject/30269016/"
"啊，朋友再见","4","2022/05/15","一个有趣的人，剩下的碎片也丰富。念诗，语速渐渐错乱，所有念诗人的声音、语调拼在一起，都在拼凑一个人，此人只可想其声而不可再见。可惜这片子太多关于胡须冬周围的人，因此难免又要有那种情绪化的造作的浪漫痛苦和理想化乃至殿堂化的追忆，倒也是一种人死后的真实（或虚假）。什么碎片都捡起来了，剪辑和声道都漂亮，偏偏把人漏了。最后撕扯的声音与真实的影像和前面一切形成对比，我愿视之为一种讽刺。(2 有用)","2022/05/06","中国大陆网络","https://movie.douban.com/subject/35891699/"
"在上海","5","2022/05/15","很喜欢。摇晃的私密的侵犯性质的镜头、关于摄影的摄影，以及一些有趣的叙事。","","","https://movie.douban.com/subject/4248231/"
"风中有朵雨做的云","4","2022/05/04","摇晃、破碎，影像极美。叙事先不论，事件本身总令我觉得逻辑有点奇怪…题材很像《血观音》，都说不上喜欢，《血》更聚焦于扭曲的人性，《风雨云》中的“人”则几乎都只服务于影像。囿于观影环境，画面暗处很难看清，体感略差。(1 有用)","2018/11/09","台北金马影展","https://movie.douban.com/subject/26728669/"
"夺冠","3","2022/05/04","","2020/09/25","中国大陆","https://movie.douban.com/subject/30128916/"
