游戏名称,个人评分,打分日期,我的短评,发行日期,条目链接
"不朽 IMMORTALITY","5","2024/09/12","目前最好的关于电影的游戏之一，剪辑拉片剧情一应俱全，物体识别串联片段的方式非常亮眼。三部电影外加电影摄制、准备视频（也可以说有点Meta）的体量难免让人疲惫，中途陷入一阵机械狂点。不论是电影原片（指第一部）还是幕后剧情都有些过于邪典，不过这样的内容倒算是和倒放影像挖掘真相的方式暗合了。总之成也叙事败也叙事，但绝对是同类型佳作，五星鼓励。以及不知道为什么让我想起圣女贞德……","2022-08-31","https://www.douban.com/game/35494599/"
"骨雕南岛Ⅰ South Scrimshaw","5","2024/09/08","","2020-07-27","https://www.douban.com/game/36576881/"
"co-open","4","2024/09/06","cute","2021-06-12","https://www.douban.com/game/37032139/"
"布兰特爵士的生平和痛苦 The Life and Suffering of Sir Brante","3","2024/08/25","前半段英文后半段中文的一周目结束了，好心办坏事被迫酿成大屠杀，良心不安只好以死谢罪（并自罚堕入柱底），对家人很愧疚，唯一值得安慰的事是弟弟内森走上了救赎之路。一开始感觉双子神和贵族平民这些设定很有意思（很俄），但是青年以后的生活就越来越《青春之歌》了，即使每个选择你都已经知道大致的结局，但也只能越来越身不由己。虽然整体来说很有意思，但越到后面影射就变得过于明显，以至于有一点不那么“好玩”了。不过游戏的形式我还是很喜欢的！如果可以有更长的时间跨度，纵横更漫长的家族史和其他各种史就更好了。所以在变革的混乱时代人的生活究竟由什么决定？回答不了，因为根本没什么能够决定。","2021-03-04","https://www.douban.com/game/35385103/"
"请勿乱动 Please, Don't Touch Anything","4","2024/07/25","美术很省心但埋了超多梗（Futurama、Back to Future、2001太空漫游、沙虫、史丹利的寓言、Papers Please……）的解谜游戏，看似简单的只有一个按钮的开局却暗藏无数解谜机关，并通过位数把不同数字按键的触发分隔开，可以说很有巧思。不过对我来说还是有些过于烧脑了，完全没想到xxxx居然可以直接就是输入xxxxxxx（手动打码）……有些对谜题非英语母语者也有点难猜。以及我用紫外线灯照了半天，观察那些乱七八糟曲线还用备忘录记下来好多串数字各种分析，最后发现和游戏解谜没关系🙃","2015-03-26","https://www.douban.com/game/26370570/"
"部落冲突 Clash of Clans","3","2024/07/24","小时候短暂沉迷过（毕竟这种游戏的设计就是为了沉迷）","2012-08-02","https://www.douban.com/game/21980528/"
"里奥小镇 TheoTown","4","2024/07/14","画风和一些细节很像OpenTTD的模拟城市游戏，唯一缺点就是我玩的iPad版本有广告😢","2015-04-11","https://www.douban.com/game/34968114/"
"石头纪 Stone Story RPG","","2024/07/14","ASCII，但是机制很无聊","2023-07-27","https://www.douban.com/game/27159305/"
"天空商人 Merchant of the Skies","2","2024/07/05","boring","2020-04-17","https://www.douban.com/game/35045598/"
"Vanakatu","","2024/06/28","","2024-06-07","https://www.douban.com/game/36946645/"
"蜜蜂碳化 Beecarbonize","4","2024/06/27","看似是资源管理自动卡牌游戏，实则是绿色建设绿色生活宣传教育（其他几条路也太难了），真的做到寓教于乐。","2023-08-01","https://www.douban.com/game/36521545/"
"20个小迷宫 20 Small Mazes","","2024/05/25","","2024-02-16","https://www.douban.com/game/36774098/"
"Family Computer Nintendo Classics ファミリーコンピュータ Nintendo Classics","","2024/05/25","","2019-04-23","https://www.douban.com/game/36207445/"
"可口的披萨，美味的披萨 Good Pizza,Great Pizza","4","2024/05/11","封校那阵狠狠沉迷过这个游戏，边玩边馋达美乐，可惜当时连外卖都点不了。","2016-06-23","https://www.douban.com/game/30377549/"
"披萨大亨2 Pizza Connection 2","4","2024/05/11","","2001-10-09","https://www.douban.com/game/30127170/"
"尼山萨满","4","2024/05/08","大二玩过，感谢“游戏中的法律与历史表达”课程。","2018-07-19","https://www.douban.com/game/30278704/"
"遗物整理师 Project Homecoming Haven","3","2024/04/29","感人的小游戏，私以为如果做成每收起一件物品就弹出对白会更好。","2024-02-06","https://www.douban.com/game/36809025/"
"内在往昔 The Past Within","3","2024/04/29","游戏流程略短，如果不是因为锈湖题材和风格可能会被认为是很平庸的双人伪联机游戏。","2022-11-02","https://www.douban.com/game/35483415/"
"主题医院 Theme Hospital","5","2024/04/19","","1997-03-31","https://www.douban.com/game/10749381/"
"小丑牌 Balatro","5","2024/04/19","除去最近拿到的奖项和全球销量，我在逛Godot Shaders的时候看到了好几个卡牌燃烧消失shader，又在油管刷到How to recreate Balatro's effects的视频，这才真正震撼于Balatro的影响力之全方位。几个月前我刚玩到这款游戏的时候其实并没有觉得多么特别，肉鸽+德扑玩起来很爽，卡牌的动效和美术做得很好，但又没让人觉得是那种设计感和精巧程度达到不可思议地步的游戏，但它就是火得一塌糊涂。不知道为什么想到因为大家过于喜欢第一关而专门出了Kaycee's Mod的Inscryption，虽然没悟但也有点悟了——果然扯其他那些都是虚的，游戏的第一要义就是爽。","2024-02-20","https://www.douban.com/game/36759560/"
